,Name,Date,Configuration,Verified,Rating,Heading,Review
117,Dhrumil,2020-06-14,Fire TV Stick,True,2.0,Unable to update firestick,"Hi , my firestick first worked fine, but after i restored it to factory settings it stopped working, i am unable to update the device and stuck at a particular point in starting the device how can i replace it or solve this issue ? Please help"
118,Vivek,2020-06-13,Fire TV Stick,True,5.0,Excellent product,Excellent integrated
119,Kanisht kaushik,2020-06-13,Fire TV Stick,True,4.0,GOOD WORKING AND BEST BUY,"Everything is good and works well, but it will have a micro-sd card slot it would be great
The only lack is a memory extension."
120,Shammi Choubey,2020-06-13,Fire TV Stick,True,1.0,Rebooting continuously,"I tried to replace the item, tried all the options but no help from amazon.in, not customer care support,
I tried all the given solution to stop rebooting the amazon stick, but still its restarting automatically, I am following proper guidelines to use the amazon stick..
overall, single star for Amazon services .... Best of Luck"
121,Arullingam,2020-06-13,Fire TV Stick,True,1.0,Super waste product....,"Don't buy this product, remote is not working, I requested for replacement still now not done..."
122,naveen,2020-06-13,Fire TV Stick,True,1.0,Remote not working,My remote is not working after 15 days.....i dont know where to replace it or repair it under warranty.plz give the solution
123,Prathamesh,2020-06-13,Fire TV Stick,True,5.0,Value for Money,Awesome product. UI is little complicated. But overall a great product.
124,chethan kumar,2020-06-13,Fire TV Stick,True,5.0,Amazing,Very good product.definitely recommend. But battery failed. Took 10 days to update. And we had a good connection definitely need to improve
125,Ankit Bhardwaj,2020-06-13,Fire TV Stick,True,5.0,Fabulous,Awesome product
126,Ankit verma,2020-06-13,Fire TV Stick,True,4.0,best option for led to convert smart led,"nice product !
but my fire stick external port is not working properly."
127,SHYAM TINAIKAR,2020-06-13,Fire TV Stick,True,4.0,Good product which helps in staying safe at home,Product improvised than earlier but  is slightly expensive
128,Adi patel,2020-06-13,Fire TV Stick,True,5.0,I recommend u to buy it 💯,It is very best if ur tv is not a smart tv as it makes ur tv a smart tv 😃😂👍👍👍 but the storage needs to be a bit more
129,Raghavendra,2020-06-13,Fire TV Stick,True,3.0,Product is not working,The product is not working after 10 days. My replacement period is over. Can somebody help me?
130,Shekhar,2020-06-13,Fire TV Stick,True,3.0,Does not work with old television needs 3rd party hdmi extension,"Hdmi Extension provided by the original product just not work with old television ,ordered new amazon basic extension now it is working on the same tv
Why cant you provide extension which will work with all sets"
131,Pankaj Kumar,2020-06-13,Fire TV Stick,True,5.0,Excellent product except the remote body,"Everything is okay
Except the remote control. The functions are excellent but the built quality is below average being the product from amazon.
After 6 months of usage. The battery cover is loose, comes out even while pressing button. The plastic body makes sound under a bit of pressure."
132,Ramesh,2020-06-13,Fire TV Stick,True,3.0,voice search,Voice search is not working after 3 months
133,Amazon Customer,2020-06-13,Fire TV Stick,True,3.0,Got dead batteries,The batteries which came in the box were drained.
134,Lalita Rani Mandal,2020-06-13,Fire TV Stick,True,5.0,Problem is only remote,"Product is awesome, but the only problem is remote. I am using this from jan 2018.
Battery is draining too fast. I am using Duracell which last only 2 to 3 weeks. this is a very big problem to this. Company should think about this problem."
135,aryan,2020-06-13,Fire TV Stick,True,1.0,Not able to run fire tv,I am not able to run my fire tv
136,Khushi r.,2020-06-13,Fire TV Stick,True,1.0,Toouch work,Does not connect to the tv
137,Amazon Customer,2020-06-13,Fire TV Stick,True,1.0,Rusted batteries from Amazon,Rusted battries
138,Vivek Teotia,2020-06-13,Fire TV Stick,True,4.0,Easy to install,Nice product..
139,Dr Anupam Tiwari,2020-06-13,Fire TV Stick,True,5.0,Best for streaming,Nice
